site,category,cli_ms,cli_usd,turns_cli,mcp_ms,mcp_usd,turns_mcp,notes
QE Buggy Todo,Automation Testing,2453,0.0,,22854,0.415464,,clean-two-phase
React Shopping Cart,Automation Testing,2012,0.0,,27200,0.50208,,clean-two-phase
SeleniumBase,Automation Testing,3545,0.0,,26215,0.352708,,clean-two-phase
Selectors Hub,Automation Testing,4914,0.0,,24751,0.354156,,clean-two-phase
Swag Labs,Automation Testing,3271,0.0,,246335,0.981073,,clean-two-phase;mcp-ms-inflated-conversation-pauses
Sweet Shop,Automation Testing,3444,0.0,,43252,0.80591,,clean-two-phase
Swag Labs,Automation Testing,2894,0.0,,33173,0.451839,,clean-two-phase
TestDino,Automation Testing,2649,0.0,,29272,0.475862,,clean-two-phase
Travel Agileway,Automation Testing,4205,0.0,,29234,0.574101,,clean-two-phase
Tricentis Obstacle Course,Automation Testing,8210,0.0,,32854,0.481549,,clean-two-phase
var.parts,Automation Testing,3251,0.0,,52735,0.482314,,clean-two-phase
Weather Shopper,Automation Testing,2699,0.0,,26494,0.687639,,clean-two-phase
XYZ Bank,Automation Testing,2863,0.0,,20551,0.389105,,clean-two-phase
Firing Range,Security Testing,1663,0.0,,26402,0.591211,,clean-two-phase
Gin & Juice Shop,Security Testing,4052,0.0,,25193,0.396906,,clean-two-phase
Google Gruyere,Security Testing,1741,0.0,,40519,0.499278,,clean-two-phase
OWASP Juice Shop,Security Testing,4567,0.0,,22760,0.404947,,clean-two-phase
OWASP VWAD,Security Testing,2599,0.0,,20456,0.406987,,clean-two-phase
Try Hack Me,Security Testing,2903,0.0,,23945,0.407153,,clean-two-phase
Zero Bank,Security Testing,3645,0.0,,28043,0.408005,,clean-two-phase;http-blocked-both-cli-mcp
Airport Gap,API Testing,2433,0.0,,89938,0.411272,,clean-two-phase
AP+ Developers,API Testing,3854,0.0,,107693,0.41441,,clean-two-phase
Automation Exercise API,API Testing,5734,0.0,,23232,0.415407,,clean-two-phase
Chuck Norris API,API Testing,3489,0.0,,24366,0.523695,,clean-two-phase
Countries GraphQL,API Testing,2285,0.0,,21401,0.417855,,clean-two-phase
FakeRestAPI,API Testing,5550,0.0,,22848,0.419812,,clean-two-phase
Go REST,API Testing,4543,0.0,,18924,0.421347,,clean-two-phase
httpbin,API Testing,25008,0.0,,24094,0.421786,,clean-two-phase
JSON Placeholder,API Testing,2400,0.0,,20272,0.423321,,clean-two-phase
Poké API,API Testing,3964,0.0,,24014,0.426128,,clean-two-phase
Restful Booker,API Testing,2185,0.0,,19457,0.539259,,clean-two-phase
Rick and Morty API,API Testing,3473,0.0,,18800,0.317674,,clean-two-phase
ServeRest,API Testing,2598,0.0,,18713,0.42921,,clean-two-phase
SpaceTraders,API Testing,3827,0.0,,18587,0.430302,,clean-two-phase
Swagger Petstore,API Testing,3349,0.0,,19685,0.5432,,clean-two-phase
The Cat API,API Testing,2206,0.0,,20726,0.320665,,clean-two-phase
Blaze Demo,Performance Testing,7179,0.0,,27049,0.652763,,clean-two-phase
